,日期,八大行庫買賣超金額,台指期
0,2023/08/22,1678866.149,16401
1,2023/08/21,1834410.596,16351
2,2023/08/18,547572.826,16352
3,2023/08/17,737228.945,16454
4,2023/08/16,3611148.291,16364
5,2023/08/15,880461.59,16422
6,2023/08/14,6105880.632,16378
7,2023/08/11,3425556.904,16625
8,2023/08/10,5399199.977,16660
9,2023/08/09,384391.247,16852
10,2023/08/08,1199146.022,16853
11,2023/08/07,-1251511.327,17002
12,2023/08/04,1126955.746,16824
13,2023/08/02,6374351.518,16814
14,2023/08/01,1533077.619,17182
15,2023/07/31,2155838.821,17100
16,2023/07/28,1178611.165,17262
17,2023/07/27,-2746583.258,17221
18,2023/07/26,2358423.154,17102
19,2023/07/25,-2697968.796,17180
20,2023/07/24,1806492.303,16981
21,2023/07/21,3338189.251,16944
22,2023/07/20,145078.51,17126
23,2023/07/19,55793.887,17102
24,2023/07/18,756596.71,17225
25,2023/07/17,413464.001,17291
26,2023/07/14,-1042548.895,17292
27,2023/07/13,-6172982.78,17084
28,2023/07/12,-1182693.611,16925
29,2023/07/11,-391121.226,16870
30,2023/07/10,3700274.299,16550
31,2023/07/07,6965704.67,16623
32,2023/07/06,7437337.671,16686
33,2023/07/05,142930.571,17005
34,2023/07/04,1569885.754,17106
35,2023/07/03,-6172068.196,17035
36,2023/06/30,1781934.911,16788
37,2023/06/29,-3949560.772,16756
38,2023/06/28,1214358.458,16776
39,2023/06/27,3019087.116,16743
40,2023/06/26,3404393.393,16880
41,2023/06/21,126307.379,17229
42,2023/06/20,1780678.151,17189
43,2023/06/19,-1053680.3,17255
44,2023/06/16,-1457371.552,17268
45,2023/06/15,-3246740.862,17337
46,2023/06/14,-2046308.254,17203
47,2023/06/13,-13651910.87,17220
48,2023/06/12,-2041639.335,16942
49,2023/06/09,-3658019.8,16888
50,2023/06/08,5441796.924,16719
51,2023/06/07,-5578888.023,16889
52,2023/06/06,-1186246.856,16747
53,2023/06/05,-75435.721,16681
54,2023/06/02,-4851616.136,16710
55,2023/06/01,77818.959,16470
56,2023/05/31,-550330.461,16489
57,2023/05/30,-1011438.897,16576
58,2023/05/29,-557354.588,16570
59,2023/05/26,-9312453.766,16435
60,2023/05/25,-3279869.626,16207
61,2023/05/24,1214584.503,16072
62,2023/05/23,794178.161,16133
63,2023/05/22,-1382087.449,16116
64,2023/05/19,-5736486.571,16129
65,2023/05/18,-6094049.333,16070
66,2023/05/17,-8202705.226,15954
67,2023/05/16,-3558474.177,15690
68,2023/05/15,3795188.287,15510
69,2023/05/12,-643845.295,15508
70,2023/05/11,3422308.57,15518
71,2023/05/10,251764.824,15609
72,2023/05/09,639636.096,15739
73,2023/05/08,-2730602.046,15723
74,2023/05/05,727062.645,15643
75,2023/05/04,543053.687,15609
76,2023/05/03,459046.434,15552
77,2023/05/02,-1648944.898,15636
78,2023/04/28,-563968.807,15573
79,2023/04/27,677693.373,15427
80,2023/04/26,-35568.2,15375
81,2023/04/25,3980701.666,15388
82,2023/04/24,246738.223,15623
83,2023/04/21,2234960.039,15615
84,2023/04/20,4386104.325,15731
85,2023/04/19,2342413.89,15775
86,2023/04/18,3622378.738,15890
87,2023/04/17,236313.617,15970
88,2023/04/14,-1739815,15947
89,2023/04/13,1942879.625,15816
